Prairie Ridge,WA,Pierce,47.1443,-122.1408
Edison,WA,Skagit,48.5602,-122.4311
Packwood,WA,Lewis,46.6085,-121.6702
Wautauga Beach,WA,Kitsap,47.5862,-122.5482
Harper,WA,Kitsap,47.5207,-122.5196
Telma,WA,Chelan,47.8432,-120.8157
Kahlotus,WA,Franklin,46.6436,-118.5566
Mondovi,WA,Lincoln,47.6813,-118.0164
Washtucna,WA,Adams,46.7539,-118.3104
Pleasant Hill,WA,King,47.6154,-121.9096
Toledo,WA,Lewis,46.4412,-122.8494
Wabash,WA,King,47.2429,-122.0576
Renton,WA,King,47.4757,-122.1904
Chehalis,WA,Lewis,46.6649,-122.966
Central Valley,WA,Kitsap,47.6632,-122.6499
Lake City,WA,Pierce,47.1487,-122.5512
Megler,WA,Pacific,46.2509,-123.8576
Alder,WA,Pierce,46.7872,-122.2666
Ronald,WA,Kittitas,47.2338,-121.0335
Belvedere,WA,Okanogan,48.0499,-118.985
Waverly,WA,Spokane,47.338,-117.2313
Turner Corner,WA,Snohomish,47.8045,-122.1435
Lofall,WA,Kitsap,47.8113,-122.6564
Kennydale,WA,King,47.5207,-122.2068
Easton,WA,Kittitas,47.2405,-121.1733
Navy Yard City,WA,Kitsap,47.5508,-122.6654
Mercer Island,WA,King,47.5624,-122.2265
Lynnwood,WA,Snohomish,47.8285,-122.3034
Coulee City,WA,Grant,47.6123,-119.289
Douglas,WA,Douglas,47.6212,-120.0048
Centralia,WA,Lewis,46.7226,-122.9695
Colbert,WA,Spokane,47.8266,-117.3419
Bryn Mawr,WA,King,47.5034,-122.2329
Silverdale,WA,Kitsap,47.6663,-122.6828
Lyle,WA,Klickitat,45.6956,-121.2805
Malott,WA,Okanogan,48.2919,-119.6954
Mountlake Terrace,WA,Snohomish,47.7921,-122.3077
Ilwaco,WA,Pacific,46.3099,-124.0417
Fairwood,WA,King,47.4467,-122.143
Warm Beach,WA,Snohomish,48.1649,-122.3442
Thomas,WA,King,47.3537,-122.229
Parker,WA,Yakima,46.5022,-120.4668
Steptoe,WA,Whitman,47.0075,-117.3502
Vail,WA,Thurston,46.8451,-122.6562
Magnolia Beach,WA,King,47.382,-122.4832
Lakeview,WA,Pierce,47.1593,-122.4982
Shaw Island,WA,San Juan,48.5843,-122.9291
Oakesdale,WA,Whitman,47.1304,-117.2465
Rosburg,WA,Wahkiakum,46.3076,-123.6344
Seattle,WA,King,47.6217,-122.3238
Onalaska,WA,Lewis,46.5782,-122.7112
George,WA,Grant,47.0847,-119.8601
Index,WA,Snohomish,47.8214,-121.556
Winchester,WA,Grant,47.249,-119.7198
Chelatchie,WA,Clark,45.9279,-122.3795
Allentown,WA,King,47.4943,-122.2762
Novelty,WA,King,47.709,-121.9846
Rosalia,WA,Whitman,47.2365,-117.3762
Richmond Beach,WA,King,47.7695,-122.3901
Lakota,WA,King,47.3329,-122.3723
Liberty Lake,WA,Spokane,47.6687,-117.1031
Airway Heights,WA,Spokane,47.6464,-117.5802
Reardan,WA,Lincoln,47.67,-117.8778
Silvana,WA,Snohomish,48.2018,-122.2461
Brier,WA,Snohomish,47.7924,-122.2736
Robe,WA,Snohomish,48.0973,-121.8135
Elk Plain,WA,Pierce,47.0448,-122.3671
Port Townsend,WA,Jefferson,48.1219,-122.7873
Ocean City,WA,Grays Harbor,47.0762,-124.1619
Boulevard Park,WA,King,47.5135,-122.3158
Newhalem,WA,Whatcom,48.6737,-121.2473
Ford,WA,Stevens,47.9082,-117.8058
Waterville,WA,Douglas,47.648,-120.0707
Quinault,WA,Grays Harbor,47.467,-123.8455
Humptulips,WA,Grays Harbor,47.2491,-123.9348
Hamilton,WA,Skagit,48.5281,-121.9837
Oak Harbor,WA,Island,48.2965,-122.6331
Naches,WA,Yakima,46.727,-120.6941
Anacortes,WA,Skagit,48.4878,-122.6291
Kettle Falls,WA,Stevens,48.6055,-118.0612
Walnut Grove,WA,Clark,45.6769,-122.6072
Salkum,WA,Lewis,46.5321,-122.6259
Cunningham,WA,Adams,46.8221,-118.8064
Irby,WA,Lincoln,47.3593,-118.8511
Electric City,WA,Grant,47.9222,-119.0476
Burbank,WA,Walla Walla,46.1991,-118.9728
Silver Lake,WA,Cowlitz,46.2973,-122.8107
Dash Point,WA,Pierce,47.313,-122.4153
Woods Creek,WA,Snohomish,47.8821,-121.8982
McKenna,WA,Pierce,46.9366,-122.5501
Island View,WA,Benton,46.2393,-119.2233
Kalama,WA,Cowlitz,46.0115,-122.8369
Grandview,WA,Yakima,46.2432,-119.9082
Winthrop,WA,Okanogan,48.4719,-120.179
Maltby,WA,Snohomish,47.8026,-122.1044
Spangle,WA,Spokane,47.4297,-117.3813
Blanchard,WA,Skagit,48.5934,-122.4166
Artondale,WA,Pierce,47.3023,-122.6398
May Creek,WA,Snohomish,47.8555,-121.6742
Home,WA,Pierce,47.279,-122.7744
Vashon,WA,King,47.4122,-122.4726
Snoqualmie Falls,WA,King,47.5398,-121.8098
Laurier,WA,Ferry,48.9974,-118.2247
Quincy,WA,Grant,47.2342,-119.8512
Lake McMurray,WA,Skagit,48.3129,-122.2317
Martha Lake,WA,Snohomish,47.8479,-122.2327
Ariel,WA,Cowlitz,45.9568,-122.5709
Loon Lake,WA,Stevens,48.0686,-117.6299
Thornton,WA,Whitman,47.1207,-117.3896
Starbuck,WA,Columbia,46.5184,-118.1251
Mirrormont,WA,King,47.4616,-121.9936
Kelso,WA,Cowlitz,46.1249,-122.8907
Meadowdale,WA,Snohomish,47.8584,-122.3161
Cottage Lake,WA,King,47.7465,-122.0755
Cheney,WA,Spokane,47.49,-117.5789
Woodway,WA,Snohomish,47.7906,-122.3849
Lacey,WA,Thurston,47.0444,-122.7933
Harrah,WA,Yakima,46.407,-120.5422
Allyn,WA,Mason,47.3863,-122.8386
South Bend,WA,Pacific,46.6683,-123.8016
Barstow,WA,Ferry,48.7783,-118.1329
Tiger,WA,Pend Oreille,48.6916,-117.4077
Warden,WA,Grant,46.9682,-119.0512
Junction City,WA,Grays Harbor,46.9712,-123.7651
Blyn,WA,Clallam,48.0131,-122.9897
Lakebay,WA,Pierce,47.257,-122.7585
Tahuya,WA,Mason,47.3712,-123.0557
Selah,WA,Yakima,46.648,-120.5388
Kitsap Lake,WA,Kitsap,47.5829,-122.7085
Sultan,WA,Snohomish,47.8703,-121.8036
Plain,WA,Chelan,47.7626,-120.6573
Tanner,WA,King,47.4813,-121.6925
Edmonds,WA,Snohomish,47.8114,-122.3534
North Hill,WA,King,47.4193,-122.3235
Zillah,WA,Yakima,46.4085,-120.273
Monse,WA,Okanogan,48.1413,-119.6778
Lake Forest Park,WA,King,47.7592,-122.2877
Marlin,WA,Grant,47.4074,-118.985
Chinook,WA,Pacific,46.2755,-123.9425
Albion,WA,Whitman,46.792,-117.2506
Skykomish,WA,King,47.7103,-121.3585
Yakima,WA,Yakima,46.5926,-120.5492
Pacific,WA,King,47.261,-122.2507
Wishram,WA,Klickitat,45.6599,-120.9698
Cascade Valley,WA,Grant,47.1406,-119.3289
Cathcart,WA,Snohomish,47.8525,-122.1058
Brush Prairie,WA,Clark,45.7251,-122.5483
Amboy,WA,Clark,45.9122,-122.4795
Centerville,WA,Klickitat,45.754,-120.908
Verlot,WA,Snohomish,48.1003,-121.7679
Alstown,WA,Douglas,47.561,-119.9951
Synarep,WA,Okanogan,48.521,-119.3309
